state,model,RMSE,MAE,MAPE,R2,RMSE_normalized,test_mean,naive_rmse,arima_rmse,improvement_vs_naive_%,improvement_vs_arima_%
Nordrhein-Westfalen,XGBoost,101151.02154401857,72387.384375,68.71792180305363,-0.15935491380917943,[2.48760566],[40662.],112212.58757911253,112212.58757911253,9.857687335919682,9.857687335919682
Rheinland-Pfalz,XGBoost,27805.716633443113,18665.824609375,41.35185158199967,-0.9627579938159923,[1.71301852],[16232.],24116.467668379628,24116.467668379628,-15.297634030794047,-15.297634030794047
Saarland,XGBoost,7935.79707089095,5899.4935546875,54.814627533798536,-1.1179384582921692,[2.09498339],[3788.],7399.93202671484,7399.93202671484,-7.241486033135963,-7.241486033135963
Sachsen,XGBoost,29672.731061623293,20114.7072265625,51.02894179940158,-0.5761372076084352,[3.13334013],[9470.],30500.15427829833,30500.15427829833,2.712849283073203,2.712849283073203
Sachsen-Anhalt,XGBoost,18896.884769636385,13543.461279296875,61.423094997573386,-1.3635532104205939,[3.59393016],[5258.],16745.30355651996,19587.093734919294,-12.848863598406869,3.5237946712453048
Schleswig-Holstein,XGBoost,15447.521641912504,12440.191796875,61.94121512552389,-0.5620889946369232,[1.80841977],[8542.],15002.286032468519,15002.286032468519,-2.967785099420113,-2.967785099420113
Thüringen,XGBoost,16317.989024287286,11862.61376953125,56.04900273238021,-0.7560624874880701,[3.02017195],[5403.],15562.72884169097,14663.984083926669,-4.8530061165947345,-11.27936944621747
Baden-Württemberg,LightGBM,70108.5353353555,60863.332588010875,104.58760095075634,-0.2713568427529125,[2.17336894],[32258.],71053.53136755414,71053.53136755414,1.3299775732612866,1.3299775732612866
Bayern,LightGBM,83462.4152994688,67092.45509824296,81.16520721688677,-0.5121591758356696,[2.26867855],[36789.],79753.74201753797,79753.74201753797,-4.650155827315658,-4.650155827315658
Berlin,LightGBM,31093.985958651483,24194.492713360192,50.94296294562571,-0.24561531323273078,[1.68833067],[18417.],32254.580536723774,32254.580536723774,3.5982318131556044,3.5982318131556044
